relationship_group,pk_table,pk_field,fk_table,fk_field,on_update,on_delete
rel_67,Liability Due,Customer ID,Liability Ledger,Customer ID,NO ACTION,NO ACTION
rel_67,Liability Due,Liability Things ID,Liability Ledger,Liability Things ID,NO ACTION,NO ACTION
rel_68,Counter Accounts,ID,Material Input Bill,ID,NO ACTION,NO ACTION
rel_69,Expense Object List,ExObject ID,Material Input Bill,ExObject ID,NO ACTION,NO ACTION
rel_70,Transaction List,ID,Material Input Bill,ID,CASCADE,CASCADE
rel_71,Expense Object List,ExObject ID,Material Input Bill,ExObject ID,NO ACTION,NO ACTION
rel_72,Warehouse List,Warehouse ID,Material Input Bill,Warehouse ID,CASCADE,NO ACTION
rel_73,Material List,Material ID,Material Input Line,Material ID,CASCADE,CASCADE
rel_74,Material Input Bill,MID,Material Input Line,MID,CASCADE,CASCADE
rel_75,CategoriesList,CategoryID,Material List,CategoryID,NO ACTION,NO ACTION
rel_76,Material List,Material ID,Material Price List,Material ID,NO ACTION,NO ACTION
rel_77,Warehouse List,Warehouse ID,Material Price List,Warehouse ID,NO ACTION,NO ACTION
rel_78,Material Input Line,LineID,Material Tax Line,Line ID,CASCADE,CASCADE
rel_79,Account Balance,Items ID,PrevBussiness,Items ID,NO ACTION,NO ACTION
rel_80,Account Balance,Items ID,PrevCash Flow,Items ID,NO ACTION,NO ACTION
rel_81,Cash Flow List,Cash Flow ID,PrevCash Flow,Cash Flow ID,NO ACTION,NO ACTION
rel_82,Account List,Account ID,Special Value,Account ID,NO ACTION,NO ACTION
rel_83,Customer List,Customer ID,Special Value,Customer ID,NO ACTION,NO ACTION
rel_84,Counter Accounts,ID,tblStockLine,ID,NO ACTION,NO ACTION
rel_85,Customer List,Customer ID,tblStockLine,Customer ID,NO ACTION,NO ACTION
rel_86,Transaction List,ID,tblStockLine,ID,CASCADE,CASCADE
rel_87,tblStocks,StockID,tblStockLine,Stockid,CASCADE,NO ACTION
rel_88,tblStockTypes,StockTypeID,tblStocks,StockTypeID,CASCADE,NO ACTION
rel_89,Transaction List,ID,tblVat,ID,NO ACTION,NO ACTION
rel_90,Counter Accounts,ID,tblVat,ID,NO ACTION,NO ACTION
rel_91,Account List,Account ID,Transaction List,Account ID,NO ACTION,NO ACTION
rel_92,Bills,BIll ID,Transaction List,Bill ID,CASCADE,CASCADE
rel_93,Account List,Account ID,userAccounts,Account ID,NO ACTION,NO ACTION
rel_94,tblUsers,user,userAccounts,user,NO ACTION,NO ACTION
rel_new_1,Obligation List,Obligation ID,Obligation Items,Obligation ID,NO ACTION,NO ACTION

rel_new_2,Obligation Items,Items ID,Account and Obligation Items,Items ID,NO ACTION,NO ACTION

rel_new_3,Account List,Account ID,Account and Obligation Items,Account ID,NO ACTION,NO ACTION

rel_new_4,Business Result Items,Items ID,Account And Business Items,Items ID,NO ACTION,NO ACTION

rel_new_5,Account List,Account ID,Account And Business Items,Account ID,NO ACTION,NO ACTION

rel_new_6,Cash Flow List,Cash Flow ID,Cash Flow Items,Cash Flow ID,NO ACTION,NO ACTION

rel_new_7,Cash Flow Items,Items ID,Account And Cash Flow Items,Items ID,NO ACTION,NO ACTION

rel_new_8,Account List,Account ID,Account And Cash Flow Items,Account ID,NO ACTION,NO ACTION

rel_cost_1,Cost Calculating Book List,Book ID,Cost Calculating Items,Book ID,NO ACTION,NO ACTION
rel_cost_2,Cost Calculating Items,Items ID,Account And Cost Calculating Items,Items ID,NO ACTION,NO ACTION
rel_cost_3,Account List,Account ID,Account And Cost Calculating Items,Account ID,NO ACTION,NO ACTION
rel_dynamic_1,Dynamic Book List,Book ID,Dynamic Book And Account,Book ID,NO ACTION,NO ACTION
rel_dynamic_2,Account List,Account ID,Dynamic Book And Account,Account ID,NO ACTION,NO ACTION
rel_vat_1,VAT Declare Items,Items ID,Account and VAT Declare Items,Items ID,NO ACTION,NO ACTION
rel_vat_2,Account List,Account ID,Account and VAT Declare Items,Account ID,NO ACTION,NO ACTION
rel_vat3_1,VAT3 Tax Items,Items ID,Account and VAT3 Items,Items ID,NO ACTION,NO ACTION
rel_vat3_2,Account List,Account ID,Account and VAT3 Items,Account ID,NO ACTION,NO ACTION
